orderDate,categoryTitle,dishTitle,orderQuantity,orderPrice
2021-07-08,"Thin-Crust Pizza","Beef Pepperoni Pizza",2,1000
2021-07-08,Starter,"Cheese Balls",2,120
2021-07-08,Starter,"French Fries",4,200
2021-07-08,Starter,"Chicken Cheese Balls",9,810
2021-07-08,Starter,"Buffalo Wings",1,170
2021-07-08,"Thin-Crust Pizza","Chicken Supreme Pizza",2,930
2021-07-08,Burger,"Chicken Cheese Burger",1,270
2021-07-08,"Thin-Crust Pizza","Four Seasons Pizza",1,350
2021-07-08,"Thin-Crust Pizza","Prawn-Lime Pizza",1,340
2021-07-08,Starter,"Teriyaki Chicken Wings",1,180
2021-07-08,"Thin-Crust Pizza","BBQ Chicken  Pizza",2,620
2021-07-08,Burger,"Peri Peri Beef Burger",1,240
2021-07-08,Starter,"Potato Wedges",1,75
2021-07-08,Starter,"Naga Wings",1,180
2021-07-09,Starter,"Teriyaki Chicken Wings",2,360
2021-07-09,Salad,"Garlic Mushroom with Chicken",1,180
2021-07-09,Starter,"Buffalo Wings",5,850
2021-07-09,"Thin-Crust Pizza","BBQ Chicken  Pizza",5,2235
2021-07-09,"Thin-Crust Pizza","Hawaiian BBQ Chicken Pizza",1,900
2021-07-09,Starter,"French Fries",1,50
2021-07-09,Starter,"Cheese Balls",5,300
2021-07-09,"Thin-Crust Pizza","Four Seasons Pizza",1,350
2021-07-09,"Thin-Crust Pizza","Chicken Supreme Pizza",2,785
2021-07-09,Burger,"Chicken Cheese Burger",1,170
2021-07-09,Starter,"Chicken Cheese Balls",1,90
2021-07-09,"Thin-Crust Pizza","Pizza Seafood Marinara",1,380
2021-07-09,Burger,"Beef Cheese Burger",2,440
2021-07-10,Starter,"Cheese Balls",5,300
2021-07-10,"Thin-Crust Pizza","Pizza Fun-Guy (Funghi)",4,1350
2021-07-10,"Thin-Crust Pizza","Four Seasons Pizza",3,1690
2021-07-10,"Thin-Crust Pizza","Chicken Supreme Pizza",1,355
2021-07-10,Starter,"Buffalo Wings",6,1020
2021-07-10,"Thin-Crust Pizza","BBQ Chicken  Pizza",1,450
2021-07-10,Drinks,"Water 500ml",1,15
2021-07-10,"Thin-Crust Pizza","Beef Pepperoni Pizza",1,1115
2021-07-10,Salad,"Garlic Mushroom with Chicken",1,180
2021-07-10,Burger,"Beef Cheese Burger",5,1100
2021-07-10,"Thin-Crust Pizza","Classic Margherita Pizza",1,330
2021-07-11,Salad,"Garlic Mushroom with Chicken",1,180
2021-07-11,"Thin-Crust Pizza","Four Seasons Pizza",1,350
2021-07-11,Starter,"Buffalo Wings",2,340
2021-07-11,"Thin-Crust Pizza","BBQ Chicken  Pizza",1,450
2021-07-12,Starter,"Naga Wings",1,180
2021-07-12,"Thin-Crust Pizza","BBQ Chicken  Pizza",3,930
2021-07-12,Starter,"Chicken Cheese Balls",2,180
2021-07-12,Starter,"Buffalo Wings",2,340
2021-07-12,Burger,"Classic Beef Burger",1,200
2021-07-12,Burger,"Classic Chicken Burger",1,150
2021-07-13,Starter,"Chicken Cheese Balls",2,180
2021-07-13,Burger,"Chicken Cheese Burger",1,170
2021-07-13,Burger,"BBQ Chicken Burger",2,380
2021-07-13,Starter,"French Fries",2,100
2021-07-13,Starter,"Buffalo Wings",4,680
2021-07-13,"Thin-Crust Pizza","BBQ Chicken  Pizza",1,450
2021-07-13,Starter,"Potato Wedges",1,75
2021-07-13,"Thin-Crust Pizza","Classic Margherita Pizza",1,220
2021-07-13,"Thin-Crust Pizza","Beef Pepperoni Pizza",2,1040
2021-07-13,"Thin-Crust Pizza","Chicken Supreme Pizza",2,640
2021-07-13,"Thin-Crust Pizza","Vegetarian's Delight",1,370
2021-07-13,Starter,"Teriyaki Chicken Wings",1,180
2021-07-14,"Thin-Crust Pizza","Four Seasons Pizza",2,1460
2021-07-14,Starter,"Cheese Balls",1,60
2021-07-14,Salad,"Garlic Mushroom with Chicken",1,180
2021-07-15,"Thin-Crust Pizza","BBQ Chicken  Pizza",2,800
2021-07-15,Burger,"Classic Chicken Burger",1,150
2021-07-15,"Thin-Crust Pizza","Pizza Fun-Guy (Funghi)",1,540
2021-07-15,Starter,"French Fries",1,80
2021-07-15,Starter,"Buffalo Wings",1,170
2021-07-16,Starter,"Potato Wedges",2,240
2021-07-16,"Thin-Crust Pizza","Pizza Seafood Marinara",1,560
2021-07-16,"Thin-Crust Pizza","Beef Pepperoni Pizza",2,1040
2021-07-16,"Thin-Crust Pizza","Pizza Fun-Guy (Funghi)",2,810
2021-07-16,Starter,"French Fries",3,240
2021-07-16,"Thin-Crust Pizza","BBQ Chicken  Pizza",2,930
2021-07-16,"Thin-Crust Pizza","Four Seasons Pizza",2,1080
2021-07-16,Starter,"Cheese Balls",2,200
2021-07-16,Starter,"Naga Wings",1,180
2021-07-16,"Thin-Crust Pizza","Chicken Supreme Pizza",1,320
2021-07-16,Starter,"Chicken Cheese Balls",1,120
2021-07-17,Starter,"Naga Wings",2,360
2021-07-17,Starter,"Potato Wedges",1,120
2021-07-17,"Thin-Crust Pizza","BBQ Chicken  Pizza",2,760
2021-07-17,"Thin-Crust Pizza","Pizza Seafood Marinara",1,380
2021-07-17,"Thin-Crust Pizza","Chicken Supreme Pizza",2,1105
2021-07-17,"Thin-Crust Pizza","Beef Pepperoni Pizza",1,700
2021-07-18,"Thin-Crust Pizza","BBQ Chicken  Pizza",2,930
2021-07-18,"Thin-Crust Pizza","Cheesy Sausage Pizza",1,470
2021-07-18,"Thin-Crust Pizza","Prawn-Lime Pizza",1,845
2021-07-19,"Thin-Crust Pizza","BBQ Chicken  Pizza",2,930
2021-07-19,"Thin-Crust Pizza","Four Seasons Pizza",1,1230
2021-07-19,Burger,"Peri Peri Beef Burger",1,240
2021-07-19,"Thin-Crust Pizza","Chicken Supreme Pizza",1,640
2021-07-19,Starter,"Buffalo Wings",1,190
2021-07-19,"Thin-Crust Pizza","Hawaiian BBQ Chicken Pizza",1,585
2021-07-19,Burger,"Chicken Cheese Burger",2,500
2021-07-20,Burger,"Peri Peri Beef Burger",1,240
2021-07-20,Burger,"Beef Cheese Burger",1,220
2021-07-20,"Thin-Crust Pizza","Beef Pepperoni Pizza",2,1065
2021-07-20,"Thin-Crust Pizza","Classic Margherita Pizza",1,220
2021-07-20,"Thin-Crust Pizza","Corn & Cheese Pizza",2,670
2021-07-20,"Thin-Crust Pizza","BBQ Chicken  Pizza",1,310
2021-07-20,"Thin-Crust Pizza","Hawaiian BBQ Chicken Pizza",1,330
2021-07-20,"Thin-Crust Pizza","Chicken Supreme Pizza",1,320
2021-07-20,Starter,"Cheese Balls",3,300
2021-07-20,"Thin-Crust Pizza","Four Seasons Pizza",1,350
2021-07-20,Burger,"Classic Chicken Burger",2,300
2021-07-21,Salad,"Sauteed Garlic Mushroom",1,200
2021-07-21,"Thin-Crust Pizza","Chicken Supreme Pizza",2,1700
2021-07-21,Starter,"Potato Wedges",1,120
2021-07-21,Drinks,"Water 500ml",2,30
2021-07-22,"Thin-Crust Pizza","BBQ Chicken  Pizza",4,1240
2021-07-22,"Thin-Crust Pizza","Chicken Supreme Pizza",2,680
2021-07-22,Burger,"Chicken Cheese Burger",2,360
2021-07-22,Burger,"Beef Cheese Burger",3,660
2021-07-22,Starter,"French Fries",1,80
2021-07-22,"Thin-Crust Pizza","Four Seasons Pizza",1,350
2021-07-22,"Thin-Crust Pizza","Classic Margherita Pizza",1,220
2021-07-23,"Thin-Crust Pizza","Hawaiian BBQ Chicken Pizza",1,490
2021-07-23,"Thin-Crust Pizza","BBQ Chicken  Pizza",6,2655
2021-07-23,Starter,"Buffalo Wings",1,190
2021-07-23,"Thin-Crust Pizza","Classic Margherita Pizza",1,330
2021-07-23,Burger,"Classic Chicken Burger",4,600
2021-07-23,"Thin-Crust Pizza","Four Seasons Pizza",1,520
2021-07-24,Starter,"Cheese Balls",1,100
2021-07-24,Starter,"Buffalo Wings",3,570
2021-07-24,"Thin-Crust Pizza","Classic Margherita Pizza",3,880
2021-07-24,"Thin-Crust Pizza","Pizza Seafood Marinara",1,380
2021-07-24,"Thin-Crust Pizza","Pizza Fun-Guy (Funghi)",2,540
2021-07-24,Burger,"Classic Beef Burger",4,1160
2021-07-24,"Thick-Crust Pizza","Naga Beef Pizza",2,1260
2021-07-24,Sandwich,"Club Sandwich",1,260
2021-07-24,"Thick-Crust Pizza","Tandoori Chicken Pizza",2,600
2021-07-24,"Thin-Crust Pizza","Chicken Supreme Pizza",1,320
2021-07-25,Salad,"Sauteed Garlic Mushroom",1,200
2021-07-25,Starter,"Chicken Cheese Balls",2,240
2021-07-25,Starter,"Cheese Balls",1,100
2021-07-25,"Thin-Crust Pizza","BBQ Chicken  Pizza",2,900
2021-07-25,Starter,"French Fries",1,80
2021-07-25,"Thin-Crust Pizza","Four Seasons Pizza",1,350
2021-07-25,"Thin-Crust Pizza","Chicken Supreme Pizza",5,1650
2021-07-26,Starter,"Chicken Cheese Balls",4,480
2021-07-26,"Thin-Crust Pizza","BBQ Chicken  Pizza",4,1890
2021-07-26,"Burger with Fries","Peri Peri Beef Burger",1,310
2021-07-26,"Thin-Crust Pizza","Beef Pepperoni Pizza",1,340
2021-07-26,"Thin-Crust Pizza","Pizza Fun-Guy (Funghi)",1,430
2021-07-26,Starter,"Buffalo Wings",1,190
2021-07-26,Starter,"French Fries",1,80
2021-07-26,"Thick-Crust Pizza","Tandoori Chicken Pizza",1,530
2021-07-26,"Thin-Crust Pizza","Four Seasons Pizza",2,900
2021-07-26,Starter,"Prawn On Toast",1,180
2021-07-26,Starter,"Fried Calamari",1,290
2021-07-26,Drinks,"Water 500ml",1,15
2021-07-27,"Thin-Crust Pizza","Chicken Supreme Pizza",1,330
2021-07-27,Starter,"Naga Wings",1,180
2021-07-27,Sandwich,"Club Sandwich",1,260
2021-07-27,"Thin-Crust Pizza","Classic Margherita Pizza",2,820
2021-07-27,Starter,"Chicken Cheese Balls",2,240
2021-07-27,Starter,"Teriyaki Chicken Wings",1,200
2021-07-28,Meal,"Fish & Chips",2,840
2021-07-28,Starter,"Fried Calamari",2,580
2021-07-28,"Thin-Crust Pizza","Four Seasons Pizza",2,900
2021-07-28,Starter,"Chicken Cheese Balls",3,360
2021-07-28,Starter,"Potato Wedges",1,120
2021-07-28,"Thin-Crust Pizza","Beef Pepperoni Pizza",1,340
2021-07-28,"Thin-Crust Pizza","Vegetarian's Delight",1,250
2021-07-28,"Thin-Crust Pizza","BBQ Chicken  Pizza",1,640
2021-07-29,"Thin-Crust Pizza","Cheesy Sausage Pizza",2,600
2021-07-29,Starter,"Fried Calamari",2,580
2021-07-29,"Thin-Crust Pizza","Corn & Cheese Pizza",1,270
2021-07-29,"Thin-Crust Pizza","Four Seasons Pizza",1,760
2021-07-29,Starter,"Buffalo Wings",2,380
2021-07-29,Starter,"Cheese Balls",1,100
2021-07-29,Starter,"Teriyaki Chicken Wings",2,400
2021-07-29,Sandwich,"Club Sandwich",1,260
2021-07-29,"Thick-Crust Pizza","Naga Beef Pizza",1,1050
2021-07-29,Meal,"Fish & Chips",1,420
2021-07-29,"Thin-Crust Pizza","Prawn-Lime Pizza",1,510
2021-07-29,"Thin-Crust Pizza","Chicken Supreme Pizza",1,480
2021-07-29,"Thin-Crust Pizza","BBQ Chicken  Pizza",1,320
2021-07-29,Starter,"Chicken Cheese Balls",2,240
2021-07-29,Starter,"French Fries",1,80
2021-07-29,Starter,"Potato Wedges",1,120
2021-07-29,"Burger with Fries","Classic Beef Burger",1,270
2021-07-29,"Thin-Crust Pizza","Pizza Seafood Marinara",1,810
2021-07-30,"Thin-Crust Pizza","Beef Pepperoni Pizza",2,1200
2021-07-30,Starter,"Cheese Balls",4,400
2021-07-30,"Thin-Crust Pizza","BBQ Chicken  Pizza",3,1425
2021-07-30,"Thin-Crust Pizza","Hawaiian BBQ Chicken Pizza",1,510
2021-07-30,"Thin-Crust Pizza","Prawn-Lime Pizza",1,750
2021-07-30,"Thick-Crust Pizza","Tandoori Chicken Pizza",1,530
2021-07-30,Salad,"Garlic Mushroom with Chicken",1,260
2021-07-30,Starter,"Fried Calamari",1,290
2021-07-31,"Thin-Crust Pizza","BBQ Chicken  Pizza",4,1950
2021-07-31,Pasta,"Seafood Marinara",2,700
2021-07-31,Starter,"Teriyaki Chicken Wings",1,200
2021-07-31,"Thin-Crust Pizza","Four Seasons Pizza",1,540
2021-07-31,Starter,"Potato Wedges",2,240
2021-07-31,"Thin-Crust Pizza","Classic Margherita Pizza",1,220
2021-07-31,Drinks,"Coke Can",2,80
2021-07-31,"Thin-Crust Pizza","Cheesy Sausage Pizza",1,445
2021-07-31,Starter,"Fried Calamari",2,580
2021-07-31,"Burger with Fries","BBQ Chicken Burger",2,520
2021-07-31,"Burger with Fries","Classic Beef Burger",4,1160
2021-07-31,Starter,"French Fries",2,160
2021-07-31,Starter,"Cheese Balls",2,200
2021-07-31,"Thin-Crust Pizza","Pizza Fun-Guy (Funghi)",1,780
2021-07-31,Sandwich,"Club Sandwich",1,260
2021-07-31,Drinks,"Water 500ml",2,30
2021-07-31,"Thin-Crust Pizza","Hawaiian BBQ Chicken Pizza",1,510
2021-08-01,Starter,"Teriyaki Chicken Wings",1,200
2021-08-01,"Thin-Crust Pizza","Chicken Supreme Pizza",2,660
2021-08-01,"Thin-Crust Pizza","Four Seasons Pizza",1,360
2021-08-01,"Thin-Crust Pizza","Cheesy Sausage Pizza",1,300
2021-08-01,"Thin-Crust Pizza","Prawn-Lime Pizza",1,340
2021-08-01,Starter,"French Fries",3,240
2021-08-01,Starter,"Fried Calamari",1,290
2021-08-01,"Thin-Crust Pizza","BBQ Chicken  Pizza",1,465
2021-08-01,"Burger with Fries","Classic Chicken Burger",1,220
2021-08-01,Drinks,"Sprite Can",1,40
2021-08-02,Sandwich,"Smoked Chicken Sandwich",4,640
2021-08-02,"Thin-Crust Pizza","Pizza Fun-Guy (Funghi)",1,300
2021-08-02,"Thin-Crust Pizza","BBQ Chicken  Pizza",2,640
2021-08-02,Starter,"French Fries",1,80
2021-08-02,Drinks,"Coke Can",5,200
2021-08-02,Drinks,"Sprite Can",2,80
2021-08-02,"Burger with Fries","Classic Chicken Burger",1,250
2021-08-02,Starter,"Teriyaki Chicken Wings",1,200
2021-08-02,Starter,"Fried Calamari",1,290
2021-08-02,"Thin-Crust Pizza","Chicken Supreme Pizza",1,330
2021-08-02,"Thin-Crust Pizza","Beef Pepperoni Pizza",1,340
2021-08-02,Starter,"Cheese Balls",4,400
2021-08-03,"Thin-Crust Pizza","BBQ Chicken  Pizza",2,640
2021-08-03,"Thin-Crust Pizza","Classic Margherita Pizza",2,820
2021-08-03,Starter,"Cheese Balls",3,300
2021-08-03,Pasta,"Seafood Marinara",1,350
2021-08-03,Starter,"Fried Calamari",1,290
2021-08-03,Meal,"Mongolian Beef",1,380
2021-08-04,Sandwich,"Smoked Chicken Sandwich",2,320
2021-08-04,"Thin-Crust Pizza","Four Seasons Pizza",1,360
2021-08-04,"Thin-Crust Pizza","Beef Pepperoni Pizza",1,380
2021-08-04,"Thin-Crust Pizza","BBQ Chicken  Pizza",2,680
2021-08-04,Meal,"Teriyaki Chicken",2,580
2021-08-04,"Thin-Crust Pizza","Corn & Cheese Pizza",1,270
2021-08-04,Starter,"Prawn On Toast",1,180
2021-08-04,"Thin-Crust Pizza","Chicken Supreme Pizza",1,330
2021-08-04,"Thin-Crust Pizza","Cheesy Sausage Pizza",1,300
2021-08-05,"Thin-Crust Pizza","BBQ Chicken  Pizza",2,790
2021-08-05,"Thin-Crust Pizza","Beef Pepperoni Pizza",3,1620
2021-08-05,"Thin-Crust Pizza","Pizza Seafood Marinara",1,380
2021-08-05,"Thin-Crust Pizza","Hawaiian BBQ Chicken Pizza",1,350
2021-08-05,Starter,"Prawn On Toast",2,360
2021-08-05,Starter,"Cheese Balls",1,100
2021-08-05,Starter,"Chicken Cheese Balls",2,240
2021-08-05,Salad,"Garlic Mushroom with Chicken",2,520
2021-08-05,"Thin-Crust Pizza","Cheesy Sausage Pizza",1,445
2021-08-05,"Thick-Crust Pizza","Naga Beef Pizza",1,1050
2021-08-05,"Thick-Crust Pizza","Tandoori Chicken Pizza",1,950
2021-08-05,Drinks,"Coke Can",5,200
2021-08-05,Drinks,"Sprite Can",1,40
2021-08-05,Sandwich,"Smoked Chicken Sandwich",1,160
2021-08-05,"Burger with Fries","Classic Chicken Burger",1,240
2021-08-06,Salad,"Sauteed Garlic Mushroom",1,200
2021-08-06,"Burger with Fries","BBQ Chicken Burger",1,260
2021-08-06,Starter,"Chicken Cheese Balls",2,240
2021-08-06,"Thin-Crust Pizza","Pizza Fun-Guy (Funghi)",2,730
2021-08-06,"Thin-Crust Pizza","BBQ Chicken  Pizza",2,1105
2021-08-06,"Thin-Crust Pizza","Beef Pepperoni Pizza",1,340
2021-08-06,Starter,"French Fries",1,80
2021-08-06,Starter,"Cheese Balls",2,200
2021-08-06,Starter,"Buffalo Wings",1,190
2021-08-06,"Thick-Crust Pizza","Tandoori Chicken Pizza",1,950
2021-08-07,Salad,"Garlic Mushroom with Chicken",2,520
2021-08-07,"Thin-Crust Pizza","Prawn-Lime Pizza",1,1050
2021-08-07,Sandwich,"Smoked Chicken Sandwich",1,160
2021-08-07,Sandwich,"Club Sandwich",1,260
2021-08-07,Starter,"Chicken Cheese Balls",3,360
2021-08-07,"Thin-Crust Pizza","Classic Margherita Pizza",1,600
2021-08-07,Starter,"Cheese Balls",2,200
2021-08-08,Starter,"French Fries",1,80
2021-08-08,Starter,"Buffalo Wings",1,190
2021-08-08,"Thin-Crust Pizza","BBQ Chicken  Pizza",1,320
2021-08-08,Sandwich,"Club Sandwich",2,520
2021-08-08,Starter,"Teriyaki Chicken Wings",2,400
2021-08-08,Drinks,"Coke Can",3,120
2021-08-08,Meal,"Fish & Chips",2,840
2021-08-08,"Thin-Crust Pizza","Pizza Seafood Marinara",2,760
2021-08-08,Drinks,"Water 500ml",2,30
2021-08-09,"Thin-Crust Pizza","BBQ Chicken  Pizza",2,785
2021-08-09,"Thin-Crust Pizza","Vegetarian's Delight",1,680
2021-08-09,"Thick-Crust Pizza","Naga Beef Pizza",1,590
2021-08-10,Sandwich,"Club Sandwich",2,520
2021-08-10,Drinks,"Coke Can",1,40
2021-08-10,"Thin-Crust Pizza","Beef Pepperoni Pizza",1,565
2021-08-10,"Thin-Crust Pizza","BBQ Chicken  Pizza",1,465
2021-08-10,"Thin-Crust Pizza","Corn & Cheese Pizza",1,270
2021-08-11,"Thin-Crust Pizza","BBQ Chicken  Pizza",5,2095
2021-08-11,"Thin-Crust Pizza","Beef Pepperoni Pizza",1,340
2021-08-11,Drinks,"Water 500ml",6,90
2021-08-11,"Thin-Crust Pizza","Pizza Fun-Guy (Funghi)",1,590
2021-08-11,Drinks,"Sprite Can",3,120
2021-08-11,Starter,"French Fries",2,160
2021-08-11,"Thick-Crust Pizza","Tandoori Chicken Pizza",1,950
2021-08-11,Pasta,"Seafood Marinara",1,350
2021-08-11,Starter,"Cheese Balls",2,200
2021-08-11,Starter,"Chicken Cheese Balls",1,120
2021-08-11,Drinks,"Coke Can",2,80
2021-08-11,"Thin-Crust Pizza","Classic Margherita Pizza",1,220
2021-08-11,Starter,"Prawn On Toast",1,180
2021-08-11,"Thick-Crust Pizza","Naga Beef Pizza",1,1050
2021-08-11,"Thin-Crust Pizza","Chicken Supreme Pizza",1,660
2021-08-12,Starter,"Teriyaki Chicken Wings",1,200
2021-08-12,Starter,"Potato Wedges",1,120
2021-08-12,Starter,"Chicken Cheese Balls",1,120
2021-08-12,"Thin-Crust Pizza","BBQ Chicken  Pizza",3,1105
2021-08-12,Drinks,"Coke Can",3,120
2021-08-12,Drinks,"Water 500ml",2,30
2021-08-12,Starter,"Cheese Balls",2,200
2021-08-12,"Thin-Crust Pizza","Four Seasons Pizza",1,360
2021-08-12,"Burger with Fries","BBQ Chicken Burger",1,240
2021-08-12,Drinks,"Sprite Can",2,80
2021-08-12,"Burger with Fries","Peri Peri Beef Burger",1,310
2021-08-13,"Thin-Crust Pizza","Chicken Supreme Pizza",3,1650
2021-08-13,Starter,"Potato Wedges",4,480
2021-08-13,Starter,"Fried Calamari",1,290
2021-08-13,Sandwich,"Club Sandwich",2,520
2021-08-13,Drinks,"Water 500ml",14,210
2021-08-13,"Thin-Crust Pizza","BBQ Chicken  Pizza",1,320
2021-08-13,Meal,"Teriyaki Chicken",5,1450
2021-08-13,"Burger with Fries","Classic Chicken Burger",2,460
2021-08-13,"Burger with Fries","Classic Beef Burger",1,290
2021-08-13,Meal,"Fish & Chips",2,840
2021-08-13,"Thick-Crust Pizza","Tandoori Chicken Pizza",1,950
2021-08-13,"Thick-Crust Pizza","Naga Beef Pizza",1,1050
2021-08-13,"Thin-Crust Pizza","Cheesy Sausage Pizza",1,610
2021-08-13,"Thin-Crust Pizza","Four Seasons Pizza",2,2060
2021-08-13,Starter,"Naga Wings",2,360
2021-08-13,Drinks,Coke,5,150
2021-08-13,Drinks,"Fanta Can",3,120
2021-08-13,Drinks,"Coke Can",9,360
2021-08-14,"Thin-Crust Pizza","Hawaiian BBQ Chicken Pizza",1,700
2021-08-14,"Thin-Crust Pizza","Beef Pepperoni Pizza",1,500
2021-08-14,"Thin-Crust Pizza","Chicken Supreme Pizza",2,990
2021-08-14,Starter,"Chicken Cheese Balls",4,480
2021-08-14,Drinks,"Water 500ml",3,45
2021-08-14,Pasta,"Seafood Marinara",1,350
2021-08-14,Drinks,Coke,3,120
2021-08-14,Drinks,Sprite,1,40
2021-08-14,"Thin-Crust Pizza","Classic Margherita Pizza",2,440
2021-08-14,Starter,"Teriyaki Chicken Wings",2,400
2021-08-14,"Thin-Crust Pizza","Cheesy Sausage Pizza",1,445
2021-08-14,Starter,"Cheese Balls",2,200
2021-08-14,Starter,"Fried Calamari",2,580
2021-08-14,Sandwich,"Smoked Chicken Sandwich",1,160
2021-08-14,Coffee,Espresso,1,130
2021-08-15,"Burger with Fries","BBQ Chicken Burger",1,260
2021-08-15,"Thick-Crust Pizza","Tandoori Chicken Pizza",2,500
2021-08-15,Starter,"Fried Calamari",2,580
2021-08-15,Drinks,"Water 500ml",4,60
2021-08-15,Drinks,Coke,5,200
2021-08-15,Salad,"Garlic Mushroom with Chicken",1,260
2021-08-15,"Thin-Crust Pizza","BBQ Chicken  Pizza",2,1025
2021-08-15,Starter,"Cheese Balls",1,100
2021-08-15,Pasta,"Seafood Marinara",1,350
2021-08-15,Starter,"Chicken Cheese Balls",4,480
2021-08-15,Starter,"Naga Wings",1,180
2021-08-15,"Thick-Crust Pizza","Naga Beef Pizza",1,590
2021-08-15,"Thin-Crust Pizza","Chicken Supreme Pizza",1,330
2021-08-15,"Thin-Crust Pizza","Four Seasons Pizza",1,360
2021-08-15,"Thin-Crust Pizza","Beef Pepperoni Pizza",1,940
2021-08-15,Coffee,Cappuccino,2,380
2021-08-15,"Thin-Crust Pizza","Cheesy Sausage Pizza",1,610
2021-08-15,Starter,"Potato Wedges",1,120
2021-08-15,Sandwich,"Smoked Chicken Sandwich",1,160
2021-08-15,Meal,"Mongolian Beef",1,380
2021-08-15,Meal,"Moroccan Chicken",1,340
2021-08-15,"Burger with Fries","Peri Peri Beef Burger",1,340
2021-08-15,Drinks,Fanta,1,40
2021-08-16,Drinks,"Water 500ml",3,45
2021-08-16,Drinks,Fanta,1,40
2021-08-16,Sandwich,"Smoked Chicken Sandwich",1,160
2021-08-16,Starter,"Buffalo Wings",1,190
2021-08-16,"Thin-Crust Pizza","Beef Pepperoni Pizza",1,340
2021-08-16,"Thin-Crust Pizza","Classic Margherita Pizza",3,770
2021-08-16,Starter,"French Fries",1,80
2021-08-16,Starter,"Chicken Cheese Balls",1,120
2021-08-16,"Thin-Crust Pizza","BBQ Chicken  Pizza",1,320
2021-08-16,"Thick-Crust Pizza","Tandoori Chicken Pizza",1,530
2021-08-16,"Thin-Crust Pizza","Pizza Seafood Marinara",2,760
2021-08-16,Coffee,Americano,1,150
2021-08-16,Coffee,Cappuccino,1,190
2021-08-16,Starter,"Potato Wedges",1,120
2021-08-16,Starter,"Fried Calamari",1,290
2021-08-16,Pasta,"Seafood Marinara",1,350
2021-08-16,Pasta,"Spaghetti Bolognese",1,300
2021-08-16,"Burger with Fries","Classic Beef Burger",1,290
2021-08-16,Drinks,Coke,1,40
2021-08-17,"Thin-Crust Pizza","BBQ Chicken  Pizza",3,960
2021-08-17,"Burger with Fries","Classic Chicken Burger",2,480
2021-08-17,"Burger with Fries","BBQ Chicken Burger",1,260
2021-08-17,"Burger with Fries","Peri Peri Beef Burger",1,310
2021-08-17,"Thin-Crust Pizza","Pizza Seafood Marinara",1,380
2021-08-17,"Thin-Crust Pizza","Prawn-Lime Pizza",1,340
2021-08-17,Drinks,"Water 500ml",5,75
2021-08-17,Starter,"Cheese Balls",2,200
2021-08-17,Drinks,Coke,4,160
2021-08-17,"Thin-Crust Pizza","Chicken Supreme Pizza",2,1320
2021-08-17,Starter,"Chicken Cheese Balls",1,120
2021-08-17,Meal,"Fish & Chips",1,420
2021-08-17,Starter,"French Fries",1,80
2021-08-17,Drinks,Sprite,1,40
2021-08-17,Drinks,Fanta,1,40
2021-08-17,Coffee,Cappuccino,1,190
2021-08-18,"Thin-Crust Pizza","BBQ Chicken  Pizza",3,1250
